;code;character;description
1007;129512;🧨;firecracker
1009;10060;❌;cross mark
1013;10067;❓;black question mark ornament
1014;10068;❔;white question mark ornament
1016;10071;❗;heavy exclamation mark symbol
1017;129514;🧪;test tube
1018;129515;🧫;petri dish
1022;129424;🦐;shrimp
1023;129425;🦑;squid
1026;129520;🧰;TOOLBOX
